Time,Ticker,Order,T,Shares,Price,MPID,X
34162394,IBM,5591974,S,100,2169900,ETMM,Q
34173043,IBM,5628923,B,200,1807200,,Q
34174905,IBM,5633065,S,100,1808300,,Q
34177207,IBM,5642525,B,100,1802200,,Q
34181236,IBM,5642525,D,0,0,,Q
34182831,IBM,5669645,B,100,1698700,XGWD,Q
34182831,IBM,5669646,S,100,1916800,XGWD,Q
34182926,IBM,5670216,B,100,1734900,XGWD,Q
34182926,IBM,5670217,S,100,1880700,XGWD,Q
34184175,IBM,4044793,D,0,0,,Q
34184176,IBM,4011453,D,0,0,,Q
34185087,IBM,5628923,F,0,0,,Q
34190582,IBM,5711040,S,100,1806500,,Q
34193990,IBM,5711040,F,0,0,,Q
34193991,IBM,5737318,S,100,1806500,,Q
34195907,IBM,5757560,B,500,1793300,,Q
34195907,IBM,5757565,B,100,1755900,,Q
34195907,IBM,5757566,B,1400,1755900,,Q
34195908,IBM,5757573,S,500,1815500,,Q
34195908,IBM,5757576,S,1400,1858900,,Q
34195908,IBM,5757577,S,100,1858900,,Q
34196078,IBM,4142508,F,0,0,,Q
34196078,IBM,0,T,100,1805500,,Q
34196078,IBM,5762925,S,45,1805300,,Q
34196079,IBM,5762925,E,10,0,,Q
34196080,IBM,5762925,F,0,0,,Q
34196084,IBM,5763327,S,100,1805300,,Q
34196907,IBM,5757560,D,0,0,,Q
34196907,IBM,5757573,D,0,0,,Q
34197406,IBM,5757565,D,0,0,,Q
34197407,IBM,5757566,D,0,0,,Q
34197407,IBM,5757577,D,0,0,,Q
34197407,IBM,5757576,D,0,0,,Q
34200003,IBM,1646992,E,60,0,,Q
34200005,IBM,1646992,F,0,0,,Q
34200008,IBM,5811607,B,100,1516400,CDRG,Q
34200008,IBM,5811690,S,100,2094100,CDRG,Q
34200049,IBM,5763327,F,0,0,,Q
34200053,IBM,5826456,S,100,2166300,UBSS,Q
34200055,IBM,5826880,B,100,1444000,UBSS,Q
34200064,IBM,5830094,S,100,1805300,,Q
34200070,IBM,5830094,E,54,0,,Q
34200075,IBM,5833872,S,100,1805300,,Q
34200188,IBM,4367392,D,0,0,,Q
34200194,IBM,5865104,B,50,1485800,,Q
34200202,IBM,5830094,F,0,0,,Q
34200202,IBM,5833872,F,0,0,,Q
34200249,IBM,5877641,B,15,1800000,,Q
34200410,IBM,45212,X,0,0,,Q
34200410,IBM,1026211,B,500,1680000,,Q
34200410,IBM,4600611,S,100,2172600,CANT,Q
34200410,IBM,2381923,B,100,1451300,WABR,Q
34200410,IBM,4607711,S,100,2172600,INTL,Q
34200410,IBM,1898823,B,100,1451200,SALI,Q
34200410,IBM,4612197,S,100,2172600,RBCM,Q
34200410,IBM,3469053,B,100,1451200,WEMM,Q
34200410,IBM,4614543,S,100,2172600,COWN,Q
34200410,IBM,3272612,B,100,1451100,MURF,Q
34200410,IBM,4629857,S,100,2172600,BMOC,Q
34200410,IBM,3272614,B,100,1451100,VNDM,Q
34200410,IBM,4639034,S,100,2172600,STFL,Q
34200410,IBM,3272616,B,100,1451100,VERT,Q
34200410,IBM,4659004,S,100,2172600,MAXM,Q
34200410,IBM,3272617,B,100,1451100,PERT,Q
34200410,IBM,4659521,S,100,2172600,ADAM,Q
34200410,IBM,3272619,B,100,1451100,BMOC,Q
34200410,IBM,4659744,S,100,2172600,WBLR,Q
34200410,IBM,2345019,B,100,1450400,MLCO,Q
34200410,IBM,4911291,S,100,2172600,NITE,Q
34200410,IBM,3610819,B,100,1450200,WCHV,Q
34200410,IBM,5129849,S,100,2172600,NITP,Q
34200410,IBM,3952223,S,100,2176000,TRIM,Q
34200410,IBM,3469054,S,100,2176800,WEMM,Q
34200410,IBM,2658706,S,100,2177600,ATDF,Q
34200410,IBM,3272611,S,100,2177800,MURF,Q
34200410,IBM,3272613,S,100,2177800,VERT,Q
34200410,IBM,3272615,S,100,2177800,VNDM,Q
34200410,IBM,3272618,S,100,2177800,PERT,Q
34200410,IBM,3272620,S,100,2177800,BMOC,Q
34200410,IBM,3610820,S,100,2177800,WCHV,Q
34200410,IBM,2366133,S,100,2178000,MLCO,Q
34200637,IBM,0,T,100,1804700,,Q
34200714,IBM,5963687,B,300,1801700,,Q
34200716,IBM,5963912,S,100,1805300,,Q
34200724,IBM,5965089,S,300,1805300,,Q
34200781,IBM,5972874,S,100,1891100,,Q
34200851,IBM,5983387,S,14,1806400,,Q
34200930,IBM,5983387,D,0,0,,Q
34200936,IBM,5994667,S,14,1806500,,Q
34201051,IBM,0,T,100,1805200,,Q
34201051,IBM,5963912,F,0,0,,Q
34201051,IBM,5965089,E,200,0,,Q
34201129,IBM,5994667,D,0,0,,Q
34201136,IBM,6028161,S,14,1805300,,Q
34201196,IBM,6035928,S,100,1805900,,Q
34201223,IBM,6039217,S,55,1809800,,Q
34201255,IBM,5965089,F,0,0,,Q
34201410,IBM,6063273,S,375,1805300,,Q
34201412,IBM,6028161,F,0,0,,Q
34201412,IBM,6063273,F,0,0,,Q
34201412,IBM,6063532,B,11,1805300,,Q
34201412,IBM,6063540,B,100,1805300,,Q
34201412,IBM,6063541,B,100,1801300,,Q
34201413,IBM,6035928,F,0,0,,Q
34201491,IBM,6072806,S,468,1805700,,Q
34201499,IBM,6063541,D,0,0,,Q
34201509,IBM,6063540,D,0,0,,Q
34201510,IBM,0,T,100,1805600,,Q
34201510,IBM,6072806,E,400,0,,Q
34201624,IBM,6089590,B,100,1441600,MLRM,Q
34201625,IBM,6089747,S,100,2166300,MLRM,Q
34201691,IBM,6063532,D,0,0,,Q
34201860,IBM,3952222,B,100,1450100,TRIM,Q
34201860,IBM,2381924,S,100,2178000,WABR,Q
34201860,IBM,1923258,B,100,1450000,JANY,Q
34201860,IBM,1898838,S,100,2179200,SALI,Q
34201860,IBM,5129848,B,100,1447300,NITP,Q
34201860,IBM,1923262,S,100,2181000,JANY,Q
34201860,IBM,4555695,B,100,1447000,BMOC,Q
34201860,IBM,4565872,B,100,1447000,CANT,Q
34201860,IBM,4571817,B,100,1447000,RBCM,Q
34201860,IBM,4593268,B,100,1447000,COWN,Q
34201860,IBM,4621934,B,100,1447000,INTL,Q
34201860,IBM,4633750,B,100,1447000,STFL,Q
34201860,IBM,4658995,B,100,1447000,ADAM,Q
34201860,IBM,4659497,B,100,1447000,MAXM,Q
34201860,IBM,4660220,B,100,1447000,WBLR,Q
34201860,IBM,4888681,B,100,1447000,ATDF,Q
34201860,IBM,4911290,B,100,1447000,NITE,Q
34203706,IBM,6218451,S,100,2172000,BARD,Q
34203714,IBM,0,T,100,1805100,,Q
34203721,IBM,6221641,B,100,1447000,BARD,Q
34204428,IBM,6330035,S,100,2167800,LEHM,Q
34204428,IBM,6330050,B,100,1441600,LEHM,Q
34205704,IBM,0,T,2,1804700,,Q
34206395,IBM,6406555,B,200,1804300,,Q
34206395,IBM,6406559,B,200,1803900,,Q
34206401,IBM,6072806,F,0,0,,Q
34206401,IBM,6406759,B,32,1805700,,Q
34206401,IBM,6406764,B,200,1804400,,Q
34206402,IBM,6406864,B,100,1804300,,Q
34206404,IBM,6406864,D,0,0,,Q
34206404,IBM,6406960,B,100,1805700,,Q
34206405,IBM,0,T,100,1805800,,Q
34206405,IBM,6406759,F,0,0,,Q
34206405,IBM,6406960,F,0,0,,Q
34206415,IBM,6407321,S,585,1806200,,Q
34206472,IBM,0,T,200,1804700,,Q
34206483,IBM,6406764,D,0,0,,Q
34206800,IBM,6406559,D,0,0,,Q
34207004,IBM,0,T,100,1806000,,Q
34207004,IBM,0,T,100,1806000,,Q
34207004,IBM,0,T,100,1806000,,Q
34207005,IBM,6428600,B,200,1804100,,Q
34207773,IBM,6449616,B,55,1802300,,Q
34208711,IBM,0,T,100,1806000,,Q
34208718,IBM,0,T,100,1806000,,Q
34208718,IBM,6407321,E,200,0,,Q
34208719,IBM,6473048,S,100,1805900,,Q
34208736,IBM,6473048,F,0,0,,Q
34208736,IBM,6474377,B,200,1804500,,Q
34208737,IBM,6474457,S,183,1805900,,Q
34208823,IBM,6474377,D,0,0,,Q
34209947,IBM,6474457,F,0,0,,Q
34209947,IBM,6516779,B,200,1804400,,Q
34210028,IBM,6516779,D,0,0,,Q
34210113,IBM,6524902,S,14,1806100,,Q
34210188,IBM,6524902,D,0,0,,Q
34210191,IBM,6527031,S,14,1806200,,Q
34211058,IBM,0,T,100,1806000,,Q
34211065,IBM,0,T,100,1806000,,Q
34211065,IBM,6407321,E,100,0,,Q
34211065,IBM,6407321,E,100,0,,Q
34212148,IBM,6407321,E,100,0,,Q
34212293,IBM,6407321,F,0,0,,Q
34212293,IBM,6527031,F,0,0,,Q
34212293,IBM,6577716,B,200,1804400,,Q
34212377,IBM,6577716,D,0,0,,Q
34214531,IBM,5963687,D,0,0,,Q
34215031,IBM,0,T,3,1804700,,Q
34215401,IBM,6406555,D,0,0,,Q
34215401,IBM,6428600,D,0,0,,Q
34215402,IBM,6651008,B,200,1805000,,Q
34215402,IBM,6651009,B,200,1804600,,Q
